	LogLikelihood	Rho
0	inf	7.165162841524208
1	101150.70925294563	7.15844424044101
2	101153.7661157127	7.157531639544932
3	101153.76695927497	7.15746033242729
4	101153.76702973388	7.157454775322074
5	101153.76703573033	7.157454260894628
6	101153.7670359703	7.157454422789463
7	101153.767036923	7.157454311354896
