0	H94	5,170,161,184,55,295
1	H170	5,170,161,174,179,37,47,440,184,55,58,295
2	H168	5,170,161,174,179,37,47,440,184,55,295
3	H158	5,170,161,174,179,37,47,184,55,58,295
4	H140	5,170,161,174,179,47,440,184,55,295
5	H166	5,170,161,174,179,37,47,440,184,58,295
6	H183	5,170,etc,22,79,161,174,179,37,47,440,184,55,58,295
7	H152	5,170,161,174,179,37,440,184,55,58,295
