Site	0	1	2	3	4	5	6	7	8	9	lat	long	Depth	Temp_plume	Temp_base
R01L	0.0	0.0	0.8953000882612533	0.0024271844660194173	0.0	0.0	0.0	0.022727272727272728	0.07954545454545454	0.0	47.93333333333333	-129.09866666666667	2190		
R02H	0.0010504201680672268	0.0	0.8072732246809574	0.0	0.036268207871878774	0.0	0.0	0.014434516447453666	0.13356635757751376	0.007407273254129238	47.935	-129.09866666666667	2195		
R07B	0.0	0.0	0.535917778474235	0.0	0.0015961691939345571	0.0007980845969672786	0.017221169193934557	0.43391038637579127	0.0007980845969672786	0.009758327568170012	47.94999166666667	-129.09707	2195	2.8000000000000003	2.8000000000000003
R08H	0.0	0.0	0.935172212650645	0.001135902122042847	0.0006184291898577613	0.0015506967058771407	0.0018552875695732839	0.036518732582422615	0.02167996985366923	0.0014687693259121829	47.94999333333333	-129.09698833333334	2197	13.700000000000001	37.9
R09L	0.0008257638315441783	0.0	0.6444525461448597	0.0	0.0007326007326007326	0.16363056890597408	0.0	0.06488269140910687	0.1230917005802252	0.0023841283956890892	47.949954999999996	-129.09692999999996	2197	2.8999999999999995	7.5
R13L	0.0	0.0	0.5711888509670079	0.08143939393939394	0.3257034632034632	0.0	0.0	0.002328132618235007	0.0	0.019340159271899887	47.962985	-129.09151666666668	2182	6.0	30.0
R14B	0.4702184504164702	0.04463303473204463	0.4801980198019802	0.0	0.0	0.0	0.0	0.0049504950495049506	0.0	0.0	47.96305666666667	-129.091665	2180	2.5	3.9
R15H	0.0006349295744429784	0.0	0.005396553704048697	0.0	0.0008403361344537815	0.00018772292096865028	0.0	0.00037544584193730055	0.000567205075176488	0.9919978067489722	48.43028499999999	-128.68213	2433	20.7	24.5
R16L	0.0	0.0	0.007449241791696357	0.0	0.0	0.00045454545454545455	0.0	0.002616707616707617	0.0015356265356265358	0.9879438786014241	48.45529	-128.70858666666666	2410	2.9	21.1
