	M	physical_dist
('R01L-10-T', 'R01L-12-T')	0.01408095104939034	0.0
('R01L-10-T', 'R02H-7-T')	0.022190058081219304	0.1111949266442996
('R01L-10-T', 'R02H-8-T')	0.041316705697379254	0.1111949266442996
('R01L-10-T', 'R02H-8-T_bis')	0.03035583362878455	0.1111949266442996
('R01L-10-T', 'R02H-9-T')	0.00485309422243611	0.1111949266442996
('R01L-10-T', 'R07B-1-Ta')	0.014070122137461324	1.1136821305126365
('R01L-10-T', 'R07B-1-Tb')	0.012307994252578976	1.1136821305126365
('R01L-10-T', 'R07B-1-Tc')	0.2492365221150535	1.1136821305126365
('R01L-10-T', 'R07B-1-Td')	0.01745844564773797	1.1136821305126365
('R01L-10-T', 'R07B-2-Tb')	0.008442624855497053	1.1136821305126365
('R01L-10-T', 'R07B-2-Tc')	0.009202799270044757	1.1136821305126365
('R01L-10-T', 'R07B-3-T')	0.006737313761842377	1.1136821305126365
('R01L-10-T', 'R08H-1-T')	0.01608377499151378	1.1140329284096762
('R01L-10-T', 'R08H-2-Ta')	0.032500956817972236	1.1140329284096762
('R01L-10-T', 'R08H-2-Tb')	0.02171981833963026	1.1140329284096762
('R01L-10-T', 'R08H-2-Tc')	0.15265216887841945	1.1140329284096762
('R01L-10-T', 'R08H-3-Ta')	0.07685256934387506	1.1140329284096762
('R01L-10-T', 'R08H-3-Tb')	0.24000353822210932	1.1140329284096762
('R01L-10-T', 'R08H-3-Tc')	0.24371777307809803	1.1140329284096762
('R01L-10-T', 'R09L-2-Ta')	0.03291002795743316	1.1116602719136612
('R01L-10-T', 'R09L-2-Tb')	0.02346047579494446	1.1116602719136612
('R01L-10-T', 'R09L-2-Tc')	0.021198664850635977	1.1116602719136612
('R01L-10-T', 'R09L-3-T')	0.022342818167574698	1.1116602719136612
('R01L-10-T', 'R09L-4-Ta')	0.0038617555996444722	1.1116602719136612
('R01L-10-T', 'R09L-4-Tb')	0.009623816755633135	1.1116602719136612
('R01L-10-T', 'R09L-4-Tc')	0.011331302777488863	1.1116602719136612
('R01L-10-T', 'R13L-3-T')	0.009500587401482474	2.7382753094569945
('R01L-10-T', 'R13L-4-T')	0.010742178773014692	2.7382753094569945
('R01L-10-T', 'R13L-5-T')	0.019585572582668253	2.7382753094569945
('R01L-10-T', 'R14B-2-T')	0.001903347646851698	2.7422597804706896
('R01L-10-T', 'R14B-4-T')	0.028218878384084677	2.7422597804706896
('R01L-10-T', 'R15H-1-T')	0.0013013864152375812	62.777152797730054
('R01L-10-T', 'R15H-2-T')	0.0013015804870656449	62.777152797730054
('R01L-10-T', 'R15H-2-T_bis')	0.001301426592813374	62.777152797730054
('R01L-10-T', 'R15H-3-T')	0.0012972277015507435	62.777152797730054
('R01L-10-T', 'R15H-3-T_old')	0.0012999849418789636	62.777152797730054
('R01L-10-T', 'R15H-6-T')	0.001298521491212609	62.777152797730054
('R01L-10-T', 'R15H-7-T')	0.0013008842929257457	62.777152797730054
('R01L-10-T', 'R16L-1-T')	0.0013033172214694543	64.5426887107763
('R01L-10-T', 'R16L-2-T')	0.0013009456524492326	64.5426887107763
