	M	Fst	physical_dist	str_dist
('R01L', 'R02H')	-2.0770167495826284	-0.31705433701470165	0.18525215568938608	5.0
('R01L', 'R07B')	-2.1847675180721944	-0.2967768517831636	1.855408039335039	8.0
('R01L', 'R08H')	1.1724110005122474	0.2989695713833822	1.8559924216746158	8.0
('R01L', 'R09L')	-1.7150039930397987	-0.41152128129970844	1.8520395076490577	8.0
('R01L', 'R13L')	-1.7517106778044145	-0.3994533312418761	3.3385317667329404	8.0
('R01L', 'R14B')	-1.1682653826000453	-0.748205747325458	3.34465698477079	8.0
('R01L', 'R15H')	0.49682705857047815	0.5015915205161425	63.27765428135126	11.0
('R01L', 'R16L')	0.8226112780958319	0.3780400245186566	64.81673291875248	11.0
('R02H', 'R07B')	21.837720917375094	0.022383662229886747	1.6705785997337992	7.0
('R02H', 'R08H')	0.38859343307748595	0.5626870302972402	1.6712070638474628	7.0
('R02H', 'R09L')	-5.102273311427966	-0.10864196151898309	1.6672894553277602	7.0
('R02H', 'R13L')	-5.799528210787127	-0.0943480212035207	3.1557863768836167	8.0
('R02H', 'R14B')	-1.3845826600466857	-0.5652383011595677	3.1617989564222584	8.0
('R02H', 'R15H')	0.2078957013752265	0.7063187402164637	63.11576328049271	11.0
('R02H', 'R16L')	0.30554475141217297	0.6206979799985874	64.65076140371151	11.0
('R07B', 'R08H')	0.4137505537903664	0.5471952908000213	0.006082643518006643	2.0
('R07B', 'R09L')	-4.325327353113554	-0.1307077679490709	0.011191056811017383	2.0
('R07B', 'R13L')	-4.792373007754817	-0.11648568265075632	1.5022209639186792	7.0
('R07B', 'R14B')	-1.3616527004636496	-0.5802801984267597	1.506895250848384	7.0
('R07B', 'R15H')	0.2195054264431745	0.6949217915863617	61.606333187741555	11.0
('R07B', 'R16L')	0.3240706237370644	0.6067441134262961	63.10863956974478	11.0
('R08H', 'R09L')	-1.2903214635658615	-0.6326539554475006	0.006083890979487823	2.0
('R08H', 'R13L')	-1.3013943894317563	-0.6239125287045424	1.5003812330563484	7.0
('R08H', 'R14B')	-1.084281700361921	-0.8557516001105041	1.505104852567056	7.0
('R08H', 'R15H')	1.5975994993138491	0.23836771517325217	61.60315246778939	11.0
('R08H', 'R16L')	5.10877989649588	0.08914594782233798	63.10571578596008	11.0
('R09L', 'R13L')	34.12130889270476	0.01444197276161785	1.5033128061208516	7.0
('R09L', 'R14B')	-1.527813103993771	-0.4864697658136009	1.50808154110651	7.0
('R09L', 'R15H')	0.16060599676882625	0.7568808070856357	61.60469389963301	11.0
('R09L', 'R16L')	0.23178074125274106	0.6832647701879202	63.107542721153614	11.0
('R13L', 'R14B')	-1.5051926373013238	-0.49741709344625495	0.013613953466058627	3.0
('R13L', 'R15H')	0.16609470186241948	0.7506440129338756	60.14863706728937	11.0
('R13L', 'R16L')	0.24020526259728436	0.6754883074534823	61.63476844313874	11.0
('R14B', 'R15H')	0.050206699057289916	0.9087493861065072	60.14729102432042	11.0
('R14B', 'R16L')	0.06952565378486375	0.8779235784677633	61.63274493605983	11.0
('R15H', 'R16L')	-3.7795164588788803	-0.1524615004283063	3.3956126638999566	8.0
