	Sample	read_id	seqid	Sample_id	Site	Ind	Region	Flow	dupl
64	R01L-10-T	R01L-10-T_2_64	PBBC36	C36	R01L	R01L-10	MEF	L	n
65	R01L-10-T	R01L-10-T_2_65	PBBC36	C36	R01L	R01L-10	MEF	L	n
66	R01L-10-T	R01L-10-T_2_66	PBBC36	C36	R01L	R01L-10	MEF	L	n
67	R01L-10-T	R01L-10-T_2_67	PBBC36	C36	R01L	R01L-10	MEF	L	n
68	R01L-10-T	R01L-10-T_2_68	PBBC36	C36	R01L	R01L-10	MEF	L	n
69	R01L-10-T	R01L-10-T_2_69	PBBC36	C36	R01L	R01L-10	MEF	L	n
70	R01L-10-T	R01L-10-T_2_70	PBBC36	C36	R01L	R01L-10	MEF	L	n
71	R01L-10-T	R01L-10-T_2_71	PBBC36	C36	R01L	R01L-10	MEF	L	n
72	R01L-10-T	R01L-10-T_2_72	PBBC36	C36	R01L	R01L-10	MEF	L	n
73	R01L-10-T	R01L-10-T_2_73	PBBC36	C36	R01L	R01L-10	MEF	L	n
74	R01L-10-T	R01L-10-T_2_74	PBBC36	C36	R01L	R01L-10	MEF	L	n
75	R01L-10-T	R01L-10-T_2_75	PBBC36	C36	R01L	R01L-10	MEF	L	n
76	R01L-10-T	R01L-10-T_2_76	PBBC36	C36	R01L	R01L-10	MEF	L	n
77	R01L-10-T	R01L-10-T_2_77	PBBC36	C36	R01L	R01L-10	MEF	L	n
78	R01L-10-T	R01L-10-T_2_78	PBBC36	C36	R01L	R01L-10	MEF	L	n
79	R01L-10-T	R01L-10-T_2_79	PBBC36	C36	R01L	R01L-10	MEF	L	n
80	R01L-10-T	R01L-10-T_2_80	PBBC36	C36	R01L	R01L-10	MEF	L	n
81	R01L-10-T	R01L-10-T_2_81	PBBC36	C36	R01L	R01L-10	MEF	L	n
82	R01L-10-T	R01L-10-T_2_82	PBBC36	C36	R01L	R01L-10	MEF	L	n
83	R01L-10-T	R01L-10-T_2_83	PBBC36	C36	R01L	R01L-10	MEF	L	n
84	R01L-10-T	R01L-10-T_2_84	PBBC36	C36	R01L	R01L-10	MEF	L	n
85	R01L-10-T	R01L-10-T_2_85	PBBC36	C36	R01L	R01L-10	MEF	L	n
86	R01L-10-T	R01L-10-T_2_86	PBBC36	C36	R01L	R01L-10	MEF	L	n
87	R01L-10-T	R01L-10-T_2_87	PBBC36	C36	R01L	R01L-10	MEF	L	n
88	R01L-10-T	R01L-10-T_2_88	PBBC36	C36	R01L	R01L-10	MEF	L	n
89	R01L-10-T	R01L-10-T_2_89	PBBC36	C36	R01L	R01L-10	MEF	L	n
90	R01L-10-T	R01L-10-T_2_90	PBBC36	C36	R01L	R01L-10	MEF	L	n
91	R01L-10-T	R01L-10-T_2_91	PBBC36	C36	R01L	R01L-10	MEF	L	n
92	R01L-10-T	R01L-10-T_2_92	PBBC36	C36	R01L	R01L-10	MEF	L	n
93	R01L-10-T	R01L-10-T_2_93	PBBC36	C36	R01L	R01L-10	MEF	L	n
94	R01L-10-T	R01L-10-T_2_94	PBBC36	C36	R01L	R01L-10	MEF	L	n
95	R01L-10-T	R01L-10-T_2_95	PBBC36	C36	R01L	R01L-10	MEF	L	n
96	R01L-10-T	R01L-10-T_2_96	PBBC36	C36	R01L	R01L-10	MEF	L	n
97	R01L-10-T	R01L-10-T_2_97	PBBC36	C36	R01L	R01L-10	MEF	L	n
98	R01L-10-T	R01L-10-T_2_98	PBBC36	C36	R01L	R01L-10	MEF	L	n
99	R01L-10-T	R01L-10-T_2_99	PBBC36	C36	R01L	R01L-10	MEF	L	n
100	R01L-10-T	R01L-10-T_2_100	PBBC36	C36	R01L	R01L-10	MEF	L	n
101	R01L-10-T	R01L-10-T_2_101	PBBC36	C36	R01L	R01L-10	MEF	L	n
102	R01L-10-T	R01L-10-T_2_102	PBBC36	C36	R01L	R01L-10	MEF	L	n
103	R01L-10-T	R01L-10-T_2_103	PBBC36	C36	R01L	R01L-10	MEF	L	n
104	R01L-10-T	R01L-10-T_2_104	PBBC36	C36	R01L	R01L-10	MEF	L	n
105	R01L-10-T	R01L-10-T_2_105	PBBC36	C36	R01L	R01L-10	MEF	L	n
106	R01L-10-T	R01L-10-T_2_106	PBBC36	C36	R01L	R01L-10	MEF	L	n
107	R01L-10-T	R01L-10-T_2_107	PBBC36	C36	R01L	R01L-10	MEF	L	n
108	R01L-10-T	R01L-10-T_2_108	PBBC36	C36	R01L	R01L-10	MEF	L	n
109	R01L-10-T	R01L-10-T_2_109	PBBC36	C36	R01L	R01L-10	MEF	L	n
110	R01L-10-T	R01L-10-T_2_110	PBBC36	C36	R01L	R01L-10	MEF	L	n
111	R01L-10-T	R01L-10-T_2_111	PBBC36	C36	R01L	R01L-10	MEF	L	n
112	R01L-10-T	R01L-10-T_2_112	PBBC36	C36	R01L	R01L-10	MEF	L	n
113	R01L-10-T	R01L-10-T_2_113	PBBC36	C36	R01L	R01L-10	MEF	L	n
114	R01L-10-T	R01L-10-T_2_114	PBBC36	C36	R01L	R01L-10	MEF	L	n
115	R01L-10-T	R01L-10-T_2_115	PBBC36	C36	R01L	R01L-10	MEF	L	n
116	R01L-10-T	R01L-10-T_2_116	PBBC36	C36	R01L	R01L-10	MEF	L	n
117	R01L-10-T	R01L-10-T_2_117	PBBC36	C36	R01L	R01L-10	MEF	L	n
118	R01L-10-T	R01L-10-T_2_118	PBBC36	C36	R01L	R01L-10	MEF	L	n
119	R01L-10-T	R01L-10-T_2_119	PBBC36	C36	R01L	R01L-10	MEF	L	n
120	R01L-10-T	R01L-10-T_2_120	PBBC36	C36	R01L	R01L-10	MEF	L	n
121	R01L-10-T	R01L-10-T_2_121	PBBC36	C36	R01L	R01L-10	MEF	L	n
122	R01L-10-T	R01L-10-T_2_122	PBBC36	C36	R01L	R01L-10	MEF	L	n
123	R01L-10-T	R01L-10-T_2_123	PBBC36	C36	R01L	R01L-10	MEF	L	n
124	R01L-10-T	R01L-10-T_2_124	PBBC36	C36	R01L	R01L-10	MEF	L	n
125	R01L-10-T	R01L-10-T_2_125	PBBC36	C36	R01L	R01L-10	MEF	L	n
126	R01L-10-T	R01L-10-T_2_126	PBBC36	C36	R01L	R01L-10	MEF	L	n
127	R01L-10-T	R01L-10-T_2_127	PBBC36	C36	R01L	R01L-10	MEF	L	n
128	R01L-10-T	R01L-10-T_2_128	PBBC36	C36	R01L	R01L-10	MEF	L	n
129	R01L-10-T	R01L-10-T_2_129	PBBC36	C36	R01L	R01L-10	MEF	L	n
130	R01L-10-T	R01L-10-T_2_130	PBBC36	C36	R01L	R01L-10	MEF	L	n
131	R01L-10-T	R01L-10-T_2_131	PBBC36	C36	R01L	R01L-10	MEF	L	n
132	R01L-10-T	R01L-10-T_2_132	PBBC36	C36	R01L	R01L-10	MEF	L	n
133	R01L-10-T	R01L-10-T_2_133	PBBC36	C36	R01L	R01L-10	MEF	L	n
134	R01L-10-T	R01L-10-T_2_134	PBBC36	C36	R01L	R01L-10	MEF	L	n
135	R01L-10-T	R01L-10-T_2_135	PBBC36	C36	R01L	R01L-10	MEF	L	n
136	R01L-10-T	R01L-10-T_2_136	PBBC36	C36	R01L	R01L-10	MEF	L	n
137	R01L-10-T	R01L-10-T_2_137	PBBC36	C36	R01L	R01L-10	MEF	L	n
138	R01L-10-T	R01L-10-T_2_138	PBBC36	C36	R01L	R01L-10	MEF	L	n
139	R01L-10-T	R01L-10-T_2_139	PBBC36	C36	R01L	R01L-10	MEF	L	n
140	R01L-10-T	R01L-10-T_2_140	PBBC36	C36	R01L	R01L-10	MEF	L	n
141	R01L-10-T	R01L-10-T_2_141	PBBC36	C36	R01L	R01L-10	MEF	L	n
142	R01L-10-T	R01L-10-T_2_142	PBBC36	C36	R01L	R01L-10	MEF	L	n
143	R01L-10-T	R01L-10-T_2_143	PBBC36	C36	R01L	R01L-10	MEF	L	n
144	R01L-10-T	R01L-10-T_2_144	PBBC36	C36	R01L	R01L-10	MEF	L	n
145	R01L-10-T	R01L-10-T_2_145	PBBC36	C36	R01L	R01L-10	MEF	L	n
146	R01L-10-T	R01L-10-T_2_146	PBBC36	C36	R01L	R01L-10	MEF	L	n
147	R01L-10-T	R01L-10-T_2_147	PBBC36	C36	R01L	R01L-10	MEF	L	n
148	R01L-10-T	R01L-10-T_2_148	PBBC36	C36	R01L	R01L-10	MEF	L	n
149	R01L-10-T	R01L-10-T_2_149	PBBC36	C36	R01L	R01L-10	MEF	L	n
150	R01L-10-T	R01L-10-T_2_150	PBBC36	C36	R01L	R01L-10	MEF	L	n
151	R01L-10-T	R01L-10-T_2_151	PBBC36	C36	R01L	R01L-10	MEF	L	n
152	R01L-10-T	R01L-10-T_2_152	PBBC36	C36	R01L	R01L-10	MEF	L	n
153	R01L-10-T	R01L-10-T_2_153	PBBC36	C36	R01L	R01L-10	MEF	L	n
154	R01L-10-T	R01L-10-T_2_154	PBBC36	C36	R01L	R01L-10	MEF	L	n
155	R01L-10-T	R01L-10-T_2_155	PBBC36	C36	R01L	R01L-10	MEF	L	n
156	R01L-10-T	R01L-10-T_2_156	PBBC36	C36	R01L	R01L-10	MEF	L	n
157	R01L-10-T	R01L-10-T_2_157	PBBC36	C36	R01L	R01L-10	MEF	L	n
158	R01L-10-T	R01L-10-T_2_158	PBBC36	C36	R01L	R01L-10	MEF	L	n
159	R01L-10-T	R01L-10-T_2_159	PBBC36	C36	R01L	R01L-10	MEF	L	n
160	R01L-10-T	R01L-10-T_2_160	PBBC36	C36	R01L	R01L-10	MEF	L	n
161	R01L-10-T	R01L-10-T_2_161	PBBC36	C36	R01L	R01L-10	MEF	L	n
162	R01L-10-T	R01L-10-T_2_162	PBBC36	C36	R01L	R01L-10	MEF	L	n
