"R01L-10-T"	"R01L-12-T"	"R02H-7-T"	"R02H-8-T"	"R02H-8-T_bis"	"R02H-9-T"	"R07B-1-Ta"	"R07B-1-Tb"	"R07B-1-Tc"	"R07B-1-Td"	"R07B-2-Tb"	"R07B-2-Tc"	"R07B-3-T"	"R08H-1-T"	"R08H-2-Ta"	"R08H-2-Tb"	"R08H-2-Tc"	"R08H-3-Ta"	"R08H-3-Tb"	"R08H-3-Tc"	"R09L-2-Ta"	"R09L-2-Tb"	"R09L-2-Tc"	"R09L-3-T"	"R09L-4-Ta"	"R09L-4-Tb"	"R09L-4-Tc"	"R13L-3-T"	"R13L-4-T"	"R13L-5-T"	"R14B-2-T"	"R14B-4-T"	"R15H-1-T"	"R15H-2-T"	"R15H-2-T_bis"	"R15H-3-T"	"R15H-3-T_old"	"R15H-6-T"	"R15H-7-T"	"R16L-1-T"	"R16L-2-T"	"R16L-3-T"	"R16L-4-T"	"R16L-5-T"
"R01L-10-T"	0																																											
"R01L-12-T"	0.03513	0																																										
"R13L-3-T"	0.49305	0.47326	0.44038	0.44014	0.29502	0.52082	0.54256	0.51153	0.53621	0.43323	0.74691	0.75169	0.41414	0.50869	0.46376	0.50974	0.52891	0.52316	0.55231	0.51207	0.57628	0.53317	0.45663	0.50048	0.61856	0.58208	0.49642	0																
"R13L-4-T"	0.01694	0.04895	0.00219	0.02185	0.04241	0.24203	0.11605	0.08663	0.02018	0.04976	0.47415	0.52564	0.07929	0.04034	0.01779	0.03937	0.02523	0.02427	0.02004	0.01067	0.0366	0.02961	0.03324	0.03832	0.40772	0.18876	0.08438	0.49722	0															
"R13L-5-T"	0.02892	0.04195	0.02951	0.02066	0.02968	0.19704	0.10861	0.09355	0.04107	0.04481	0.39764	0.47326	0.08105	0.05166	0.03464	0.05138	0.04041	0.03735	0.04665	0.03207	0.05171	0.05226	0.04992	0.05367	0.34846	0.15773	0.08007	0.43989	0.04774	0														
"R14B-2-T"	0.64856	0.51614	0.59611	0.52859	0.44347	0.58608	0.67322	0.66098	0.71045	0.5992	0.78414	0.8085	0.52639	0.67607	0.63084	0.66576	0.70701	0.70327	0.72939	0.66301	0.73544	0.6901	0.64845	0.655	0.6682	0.69431	0.64634	0.78629	0.65184	0.58118	0													
"R14B-4-T"	0.00159	0.045	0.00368	0.01207	0.03326	0.24285	0.11648	0.08315	-0.00079	0.03344	0.54127	0.57489	0.08252	0.02488	0.00537	0.02298	0.00237	0.00387	4e-04	-0.00194	0.01448	0.01866	0.01995	0.02933	0.41722	0.19953	0.07545	0.53796	0.0155	0.03673	0.68143	0												
"R15H-1-T"	0.93986	0.93874	0.91522	0.9279	0.86511	0.92119	0.94811	0.93492	0.94789	0.91228	0.97904	0.96843	0.88949	0.94275	0.92565	0.9438	0.94545	0.94276	0.94911	0.94655	0.96245	0.95074	0.9132	0.93855	0.93039	0.9566	0.93659	0.96166	0.92802	0.91914	0.91813	0.95324	0											
"R15H-2-T"	0.94665	0.94812	0.92274	0.93697	0.87509	0.92971	0.95492	0.94156	0.9535	0.91946	0.98458	0.97313	0.89866	0.94913	0.93253	0.95047	0.95101	0.94831	0.95427	0.95332	0.96811	0.95712	0.91892	0.9453	0.93755	0.96317	0.94351	0.96662	0.93481	0.92705	0.92877	0.95961	-0.00119	0										
"R15H-2-T_bis"	0.92819	0.92339	0.91019	0.91813	0.87708	0.91665	0.93372	0.92531	0.935	0.9106	0.95499	0.95166	0.89263	0.93094	0.91884	0.93105	0.93367	0.93185	0.93642	0.93208	0.94416	0.93539	0.91082	0.92744	0.92512	0.93983	0.92678	0.94719	0.91816	0.91443	0.89956	0.9367	0.00167	0.00253	0									
"R15H-3-T"	0.92455	0.91691	0.89841	0.9071	0.84303	0.90202	0.93265	0.92003	0.93531	0.89631	0.9661	0.95785	0.86907	0.92838	0.91027	0.92873	0.93303	0.93034	0.93759	0.9312	0.9496	0.93629	0.90054	0.92336	0.91445	0.94155	0.921	0.95053	0.91282	0.90136	0.89383	0.93875	0.00035	0.00249	-0.00085	0								
"R15H-3-T_old"	0.9104	0.88838	0.87541	0.87576	0.79179	0.86929	0.92063	0.90479	0.92789	0.87173	0.9718	0.95763	0.82941	0.91626	0.89161	0.91598	0.92485	0.92141	0.93183	0.91979	0.94725	0.92766	0.8845	0.90887	0.891	0.93294	0.90404	0.94697	0.89798	0.87436	0.87071	0.93139	-3e-04	0.00024	-0.00244	-0.00179	0							
"R15H-6-T"	0.90543	0.89355	0.8847	0.88901	0.84396	0.88922	0.91113	0.90288	0.91578	0.88616	0.93635	0.93574	0.86219	0.90941	0.89548	0.90871	0.91458	0.91269	0.91857	0.90946	0.92505	0.91398	0.89033	0.90477	0.90169	0.91806	0.90368	0.93039	0.89491	0.88822	0.86534	0.91529	0.00732	0.00881	0.00053	0.00197	4e-04	0						
"R15H-7-T"	0.91981	0.91219	0.89975	0.90659	0.86088	0.90515	0.92573	0.91683	0.92842	0.90013	0.94989	0.94698	0.87887	0.92314	0.90958	0.92301	0.927	0.92504	0.93045	0.92413	0.93828	0.9281	0.90228	0.91904	0.91549	0.93249	0.91799	0.94181	0.90942	0.90358	0.88673	0.92957	0.00185	0.0037	-0.00072	-0.00141	-0.00123	0.00056	0					
"R16L-1-T"	0.89106	0.85809	0.85722	0.85069	0.77515	0.84836	0.89943	0.88669	0.91141	0.85551	0.9472	0.9415	0.81057	0.89787	0.87418	0.89627	0.90897	0.90587	0.91675	0.89905	0.92782	0.90759	0.87117	0.8899	0.87312	0.91076	0.88505	0.93138	0.87976	0.85525	0.84042	0.91078	0.02087	0.02569	0.00347	0.0089	0.00417	-0.00073	0.00454	0				
"R16L-2-T"	0.95272	0.9554	0.93161	0.94567	0.89099	0.93925	0.96014	0.94811	0.95809	0.92871	0.98549	0.97544	0.91145	0.95474	0.94013	0.9561	0.95583	0.95339	0.95847	0.95859	0.97114	0.96175	0.92656	0.9515	0.94543	0.96735	0.95016	0.96979	0.94172	0.93616	0.93742	0.96391	-0.00126	-0.00105	0.00356	0.00262	0.00247	0.01059	0.00415	0.03232	0			
"R16L-3-T"	0.93221	0.92832	0.90772	0.91861	0.85793	0.91316	0.94007	0.92763	0.94109	0.90555	0.97066	0.96199	0.8817	0.93541	0.91851	0.93609	0.93884	0.93624	0.94272	0.93852	0.9549	0.94293	0.90742	0.93099	0.92341	0.94842	0.92908	0.95533	0.92046	0.91148	0.90651	0.94527	0.00205	0.00232	-8e-04	0.00034	-0.00367	0.00209	0.00069	0.00521	0.00446	0		
"R16L-4-T"	0.91643	0.90203	0.88512	0.89022	0.8139	0.88402	0.92581	0.9112	0.93089	0.88207	0.96889	0.95758	0.84654	0.92135	0.89945	0.92139	0.92817	0.92503	0.93411	0.92465	0.94811	0.93127	0.89092	0.91501	0.90123	0.93664	0.91132	0.94839	0.90412	0.8861	0.88107	0.93445	6e-05	0.00055	-0.00152	-0.00088	-0.00389	0.00132	-0.00035	0.0067	0.002	-0.00195	0	
"R16L-5-T"	0.94658	0.94775	0.92362	0.93734	0.87832	0.93068	0.95448	0.94175	0.95317	0.92067	0.98265	0.97216	0.90076	0.949	0.93309	0.95025	0.95081	0.94822	0.95392	0.95289	0.96708	0.95654	0.91988	0.94529	0.93824	0.96236	0.94367	0.96594	0.93504	0.92796	0.92841	0.95888	-0.0011	-0.00092	0.00276	0.00258	0.00032	0.00879	0.00371	0.02488	-0.00033	0.00265	0.00068	0
