	0
184- 55- 58- 295	16
440- 184- 55- 58- 295	17
47- 440- 184- 55- 58- 295	18
37- 47- 440- 184- 55- 58- 295	19
179- 37- 47- 440- 184- 55- 295	20
179- 37- 47- 440- 184- 55- 58- 295	21
174- 179- 37- 47- 440- 184- 58- 295	22
174- 179- 37- 47- 440- 184- 55- 58- 295	23
161- 184- 55- 295	24
161- 174- 179- 37- 47- 440- 184- 55- 58- 295	25
170- 161- 58- 295	26
170- 161- 184- 55- 295	27
170- 161- 174- 179- 37- 47- 440- 184- 55- 58- 295	28
5	29
5- 295	30
5- 58- 295	31
5- 55- 295	32
5- 55- 58- 295	33
5- 184- 55- 295	34
5- 184- 55- 58- 295	35
5- 440- 184- 55- 58- 295	36
5- 47- 440- 184- 55- 295	37
5- 47- 440- 184- 55- 58- 295	38
5- 37- 47- 440- 58- 295	39
5- 37- 47- 440- 184- 55- 58- 295	40
5- 179- 37- 440- 184- 55- 58- 295	41
5- 179- 37- 47- 440- 184- 55- 58- 295	42
5- 174- 58- 295	43
5- 174- 179- 58- 295	44
5- 174- 179- 37- 47- 440- 184- 55- 58- 295	45
5- 161- 295	46
5- 161- 174- 179- 37- 47- 440- 184- 55- 295	47
5- 161- 174- 179- 37- 47- 440- 184- 55- 58- 295	48
5- 170	49
5- 170- 295	50
5- 170- 58- 295	51
5- 170- 55- 295	52
5- 170- 55- 58- 295	53
5- 170- 184- 55- 295	54
5- 170- 184- 55- 58- 295	55
5- 170- 440- 184- 55- 58- 295	56
5- 170- 47- 440- 184- 55	57
5- 170- 47- 440- 184- 55- 58- 295	58
5- 170- 37- 47- 440- 184- 55- 58- 295	59
5- 170- 174- 179- 58- 295	60
5- 170- 174- 179- 47- 440- 184- 55- 295	61
5- 170- 174- 179- 37- 47	62
5- 170- 174- 179- 37- 47- 440- 184- 55- 58- 295	63
5- 170- 161	64
5- 170- 161- 295	65
5- 170- 161- 58- 295	66
5- 170- 161- 55- 295	67
5- 170- 161- 55- 58- 295	68
5- 170- 161- 184- 295	69
5- 170- 161- 184- 55	70
5- 170- 161- 184- 55- 58- 295	71
5- 170- 161- 440- 184- 58- 295	72
5- 170- 161- 440- 184- 55- 58- 295	73
5- 170- 161- 47- 440- 184- 55- 58- 295	74
5- 170- 161- 179- 37- 47- 440- 184- 55- 58- 295	75
5- 170- 161- 174	76
5- 170- 161- 174- 295	77
5- 170- 161- 174- 58	78
5- 170- 161- 174- 58- 295	79
5- 170- 161- 174- 55- 295	80
5- 170- 161- 174- 55- 58- 295	81
5- 170- 161- 174- 184- 295	82
5- 170- 161- 174- 184- 55- 58- 295	83
5- 170- 161- 174- 440- 184	84
5- 170- 161- 174- 440- 184- 55- 58- 295	85
5- 170- 161- 174- 47- 440- 184- 55- 58- 295	86
5- 170- 161- 174- 37- 47- 440- 184- 55- 58- 295	87
